Seed,UE,X,Y,Z,Distance,AvgCQI,CC1,CC2,CC3,CC4,CC5,CQI_CC1,CQI_CC2,CQI_CC3,CQI_CC4,CQI_CC5,Thr_CC1_Mbps,Thr_CC2_Mbps,Thr_CC3_Mbps,Thr_CC4_Mbps,Thr_CC5_Mbps,TotalThr_Mbps
101.0,6.0,100.16905879082296,148.2953703462291,1.5,181.21149854566238,8.2,1.0,1.0,1.0,1.0,1.0,10.0,4.0,10.0,10.0,7.0,2.982,0.826,0.0,5.18,3.29,12.278
101.0,7.0,-57.910134098328655,6.199619005490076,1.5,64.84033395271527,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,2.786,5.166,5.026,0.0,4.956,17.934
101.0,8.0,118.08392390501919,23.636860642625066,1.5,123.75283538507408,12.0,1.0,1.0,1.0,1.0,1.0,11.0,13.0,13.0,15.0,8.0,5.754,0.0,5.292,2.324,1.61,14.98
101.0,9.0,66.4631585304914,70.44571748081457,1.5,100.95642898417105,12.4,1.0,1.0,1.0,1.0,1.0,10.0,15.0,15.0,9.0,13.0,2.954,2.786,0.0,3.29,4.844,13.874
101.0,10.0,-93.01831373856096,12.588531668878055,1.5,98.0975423766758,10.8,1.0,1.0,1.0,1.0,1.0,12.0,10.0,7.0,14.0,11.0,0.56,2.604,3.36,5.628,0.0,12.152
101.0,11.0,16.268277337436142,123.94606730273057,1.5,128.21674792062367,9.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,15.0,7.0,11.0,6.902,0.91,7.518,1.82,0.0,17.15
101.0,12.0,-44.36041379201576,92.37604529637514,1.5,106.36460904077451,9.0,1.0,1.0,1.0,1.0,1.0,11.0,8.0,10.0,4.0,12.0,3.024,0.0,0.0,0.0,7.476,10.5
101.0,13.0,-95.4322792019764,-29.100650791863792,1.5,103.76135017526506,12.0,1.0,1.0,1.0,1.0,1.0,15.0,11.0,11.0,9.0,14.0,0.448,2.534,4.774,3.262,2.408,13.426
101.0,14.0,85.68052855930765,-42.83269715376365,1.5,99.94019671617805,12.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,8.0,7.896,5.306,2.618,0.0,1.82,17.64
101.0,15.0,139.64496672359078,135.86301441326196,1.5,196.90537173142584,5.2,1.0,1.0,1.0,1.0,1.0,4.0,4.0,10.0,0.0,8.0,0.938,0.826,7.406,0.0,0.0,9.17
101.0,16.0,-80.2939014555718,-46.91052663223205,1.5,97.26231603180354,11.4,1.0,1.0,1.0,1.0,1.0,15.0,14.0,5.0,11.0,12.0,0.518,0.0,0.0,2.674,4.97,8.162
101.0,17.0,-124.93156990099689,109.5299448954984,1.5,168.57329559197265,7.2,1.0,1.0,1.0,1.0,1.0,7.0,5.0,9.0,9.0,6.0,0.686,2.898,3.64,0.0,0.0,7.224
101.0,18.0,31.064526687365557,99.08331365963909,1.5,107.67895738761808,12.2,1.0,1.0,1.0,1.0,1.0,15.0,12.0,10.0,9.0,15.0,3.038,2.562,0.0,1.638,0.0,7.238
101.0,19.0,68.69782718628534,11.448434774267213,1.5,75.25096756120399,12.0,1.0,1.0,1.0,1.0,1.0,15.0,12.0,12.0,11.0,10.0,0.588,0.0,2.408,0.0,0.0,2.996
101.0,20.0,-67.12835145082117,126.74081177016708,1.5,146.22482325742743,10.2,1.0,1.0,1.0,1.0,1.0,11.0,10.0,7.0,9.0,14.0,0.49,0.0,0.0,5.264,0.0,5.754
101.0,1.0,4.919588310733847,55.591898634053486,1.5,62.66507434676821,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.532,0.0,0.0,2.436,0.0,2.968
101.0,2.0,21.200276060441936,5.360242259114212,1.5,35.922609901221556,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,7.868,4.844,0.0,8.33,0.0,21.042
