maskIdx,reward
16,49.294000
16,47.586000
16,53.816000
16,63.518000
16,65.814000
16,62.160000
16,62.118000
16,66.752000
16,66.122000
16,71.806000
16,72.856000
16,71.778000
16,69.916000
16,68.096000
16,60.452000
16,51.590000
16,56.154000
16,60.592000
16,61.502000
16,52.052000
16,46.200000
16,54.782000
16,58.982000
16,60.466000
16,65.100000
16,67.760000
16,67.746000
16,65.688000
16,67.172000
16,69.384000
16,66.234000
16,61.810000
16,63.700000
16,69.650000
16,68.586000
16,61.950000
16,56.070000
16,62.216000
16,50.484000
16,49.126000
16,48.944000
