Seed,UE,X,Y,Z,Distance,AvgCQI,CC1,CC2,CC3,CC4,CC5,CQI_CC1,CQI_CC2,CQI_CC3,CQI_CC4,CQI_CC5,Thr_CC1_Mbps,Thr_CC2_Mbps,Thr_CC3_Mbps,Thr_CC4_Mbps,Thr_CC5_Mbps,TotalThr_Mbps
101,16,-80.2939014555718,-46.910526632232,1.5,97.2623160318035,11.2,1,1,1,1,1,15,13,6,10,12,3.234,2.464,1.652,0,2.576,9.926
101,17,-124.931569900997,109.529944895498,1.5,168.573295591973,7.2,1,1,1,1,1,7,5,8,10,6,3.668,0,0,12.95,0,16.618
101,18,31.0645266873656,99.0833136596391,1.5,107.678957387618,12,1,1,1,1,1,15,11,11,8,15,2.968,0,2.492,0,7.868,13.328
101,19,68.6978271862853,11.4484347742672,1.5,75.250967561204,12,1,1,1,1,1,15,12,11,12,10,3.024,0,4.97,10.612,0,18.606
101,20,-67.1283514508212,126.740811770167,1.5,146.224823257427,10.4,1,1,1,1,1,12,10,7,8,15,0.476,0,0,0,5.628,6.104
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,15,1,0,1,1,1,15,15,15,15,15,0.476,0,0,0,5.25,5.726
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,0,1,1,1,15,15,15,15,15,0.378,0,0,0,0,0.378
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,4,1,0,1,1,1,5,1,4,7,3,1.106,0,0,3.444,0,4.55
101,4,-98.5435031324691,-108.639228731368,1.5,149.41738195058,8.4,1,0,1,1,1,3,9,10,11,9,3.906,0,2.45,0,0,6.356
101,5,55.5830945091938,-93.9097721586237,1.5,112.786416301355,10.2,1,0,1,1,1,13,12,7,7,12,0.532,0,1.862,0,0,2.394
101,6,100.169058790823,148.295370346229,1.5,181.211498545662,9.6,1,0,1,1,1,11,5,12,11,9,0.462,0,2.66,0,10.878,14
101,7,-57.9101340983287,6.19961900549008,1.5,64.8403339527153,15,1,0,1,1,1,15,15,15,15,15,0.49,0,2.478,13.258,0,16.226
101,8,118.083923905019,23.6368606426251,1.5,123.752835385074,13.2,1,0,1,1,1,12,15,14,15,10,2.912,0,0,0,7.686,10.598
101,9,66.4631585304914,70.4457174808146,1.5,100.956428984171,13,1,0,1,1,1,11,15,15,9,15,3.276,0,5.474,0,5.67,14.42
101,10,-93.018313738561,12.5885316688781,1.5,98.0975423766758,11.8,1,0,1,1,1,13,11,8,15,12,16.716,0,9.338,7.7,0,33.754
101,11,16.2682773374361,123.946067302731,1.5,128.216747920624,9.8,1,0,1,1,1,8,5,15,9,12,0.308,0,7.882,11.858,0,20.048
101,12,-44.3604137920158,92.3760452963751,1.5,106.364609040775,10.2,1,0,1,1,1,13,10,11,4,13,0.434,0,0,0,0,0.434
101,13,-95.4322792019764,-29.1006507918638,1.5,103.761350175265,12.8,1,0,1,1,1,15,11,13,10,15,0.518,0,10.668,0,0,11.186
101,14,85.6805285593076,-42.8326971537636,1.5,99.9401967161781,13.4,1,0,1,1,1,15,14,14,14,10,3.108,0,2.674,0,4.942,10.724
101,15,139.644966723591,135.863014413262,1.5,196.905371731426,6.6,1,0,1,1,1,6,6,11,0,10,2.1,0,0,0,0,2.1
101,16,-80.2939014555718,-46.910526632232,1.5,97.2623160318035,12.2,1,0,1,1,1,15,15,7,11,13,3.332,0,1.666,0,2.394,7.392
101,17,-124.931569900997,109.529944895498,1.5,168.573295591973,8.2,1,0,1,1,1,8,5,9,12,7,5.306,0,0,8.008,0,13.314
101,18,31.0645266873656,99.0833136596391,1.5,107.678957387618,12.6,1,0,1,1,1,15,11,12,10,15,0.546,0,0,0,10.108,10.654
101,19,68.6978271862853,11.4484347742672,1.5,75.250967561204,13,1,0,1,1,1,15,12,13,14,11,2.996,0,2.884,5.18,0,11.06
101,20,-67.1283514508212,126.740811770167,1.5,146.224823257427,11,1,0,1,1,1,12,11,8,9,15,0.49,0,0,0,2.436,2.926
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,15,1,1,1,1,1,15,15,15,15,15,0.532,2.73,0,0,7.924,11.186
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,1,1,1,1,15,15,15,15,15,0.56,0,0,0,0,0.56
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,4.8,1,1,1,1,1,6,2,4,9,3,0.154,0,0,11.228,0,11.382
101,4,-98.5435031324691,-108.639228731368,1.5,149.41738195058,9.2,1,1,1,1,1,4,10,10,12,10,7.658,8.022,0.602,0,0,16.282
101,5,55.5830945091938,-93.9097721586237,1.5,112.786416301355,11.2,1,1,1,1,1,14,13,8,8,13,0.644,5.068,1.82,0,0,7.532
101,6,100.169058790823,148.295370346229,1.5,181.211498545662,10.6,1,1,1,1,1,12,6,13,12,10,0.588,0.91,7.826,0,17.318,26.642
101,7,-57.9101340983287,6.19961900549008,1.5,64.8403339527153,15,1,1,1,1,1,15,15,15,15,15,0.588,5.18,0,14.252,0,20.02
101,8,118.083923905019,23.6368606426251,1.5,123.752835385074,13.8,1,1,1,1,1,13,15,15,15,11,0.49,2.632,0,0,11.214,14.336
101,9,66.4631585304914,70.4457174808146,1.5,100.956428984171,13.4,1,1,1,1,1,12,15,15,10,15,10.85,5.236,5.166,0,2.73,23.982
101,10,-93.018313738561,12.5885316688781,1.5,98.0975423766758,13,1,1,1,1,1,15,12,10,15,13,12.516,0,8.288,5.404,0,26.208
101,11,16.2682773374361,123.946067302731,1.5,128.216747920624,10.6,1,1,1,1,1,10,5,15,10,13,0.56,0.952,5.25,22.974,0,29.736
101,12,-44.3604137920158,92.3760452963751,1.5,106.364609040775,11,1,1,1,1,1,13,11,12,5,14,0.518,2.478,0,0,0,2.996
101,13,-95.4322792019764,-29.1006507918638,1.5,103.761350175265,13.2,1,1,1,1,1,15,12,13,11,15,3.234,5.362,5.334,0,0,13.93
101,14,85.6805285593076,-42.8326971537636,1.5,99.9401967161781,14.2,1,1,1,1,1,15,15,15,15,11,3.36,3.108,2.59,0,5.46,14.518
101,15,139.644966723591,135.863014413262,1.5,196.905371731426,7.4,1,1,1,1,1,7,7,12,0,11,2.24,1.834,0,0,0,4.074
101,16,-80.2939014555718,-46.910526632232,1.5,97.2623160318035,12.8,1,1,1,1,1,15,15,8,12,14,3.052,0,7.364,0,0,10.416
101,17,-124.931569900997,109.529944895498,1.5,168.573295591973,9.2,1,1,1,1,1,10,6,10,12,8,6.048,0,0,0.518,0,6.566
101,18,31.0645266873656,99.0833136596391,1.5,107.678957387618,13,1,1,1,1,1,15,12,13,10,15,0.588,5.432,0,0,5.558,11.578
101,19,68.6978271862853,11.4484347742672,1.5,75.250967561204,13.6,1,1,1,1,1,15,13,14,15,11,0.532,0,8.792,0,0,9.324
101,20,-67.1283514508212,126.740811770167,1.5,146.224823257427,11.8,1,1,1,1,1,13,12,9,10,15,0.49,2.604,0,0,8.428,11.522
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,15,1,0,1,1,1,15,15,15,15,15,0.532,0,0,0,11.802,12.334
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,0,1,1,1,15,15,15,15,15,0.504,0,0,0,0,0.504
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,5.2,1,0,1,1,1,6,2,5,9,4,0.224,0,0,19.152,0,19.376
